iter	Passed	Remaining
642	19859	4848
643	19889	4817
644	19920	4787
645	19951	4756
646	19983	4725
647	20016	4695
648	20047	4664
649	20076	4632
650	20107	4602
651	20140	4571
652	20173	4541
653	20203	4510
654	20234	4479
655	20265	4448
656	20296	4417
657	20329	4387
658	20360	4356
659	20391	4325
660	20422	4294
661	20454	4263
662	20487	4233
663	20524	4203
664	20556	4173
665	20588	4142
666	20620	4111
667	20651	4080
668	20681	4049
669	20710	4018
670	20739	3987
671	20768	3955
672	20799	3924
673	20828	3893
674	20858	3862
675	20889	3831
676	20918	3800
677	20949	3769
678	20978	3738
679	21007	3707
680	21036	3676
681	21064	3644
682	21095	3613
683	21128	3583
684	21161	3552
685	21191	3521
686	21221	3490
687	21252	3459
688	21283	3428
689	21314	3397
690	21345	3367
691	21375	3336
692	21408	3305
693	21444	3275
694	21508	3249
695	21552	3220
696	21593	3191
697	21627	3160
698	21658	3129
699	21688	3098
700	21720	3067
701	21750	3036
702	21782	3005
703	21813	2974
704	21844	2943
705	21874	2912
706	21907	2881
707	21940	2851
708	21970	2819
709	22001	2788
710	22033	2758
711	22064	2727
712	22096	2696
713	22127	2665
714	22157	2634
715	22189	2603
716	22220	2572
717	22253	2541
718	22283	2510
719	22313	2479
720	22344	2448
721	22376	2417
722	22408	2386
723	22438	2355
724	22468	2324
725	22498	2293
726	22529	2262
727	22562	2231
728	22595	2200
729	22625	2169
730	22656	2138
731	22686	2107
732	22720	2076
733	22753	2045
734	22786	2015
735	22817	1984
736	22847	1953
737	22880	1922
738	22910	1891
739	22940	1860
740	22970	1828
741	23001	1797
742	23036	1767
743	23069	1736
744	23101	1705
745	23131	1674
746	23164	1643
747	23197	1612
748	23229	1581
749	23259	1550
750	23291	1519
751	23322	1488
752	23353	1457
753	23382	1426
754	23414	1395
755	23444	1364
756	23475	1333
757	23506	1302
758	23537	1271
759	23569	1240
760	23600	1209
761	23634	1178
762	23664	1147
763	23695	1116
764	23725	1085
765	23756	1054
766	23788	1023
767	23818	992
768	23848	961
769	23878	930
770	23909	899
771	23942	868
772	23973	837
773	24004	806
774	24035	775
775	24065	744
776	24097	713
777	24130	682
778	24161	651
779	24192	620
780	24227	589
781	24259	558
782	24292	527
783	24323	496
784	24354	465
785	24385	434
786	24416	403
787	24448	372
788	24479	341
789	24509	310
790	24538	279
791	24573	248
792	24605	217
793	24637	186
794	24668	155
795	24697	124
796	24728	93
797	24759	62
798	24789	31
799	24820	0
